Time Period,Demand,Renewable Available (alpha-scaled),Renewable Used,Renewable Curtailed,Conventional Generation
113,4363.633048494709,215.04000000000002,215.04000000000002,0.0,4148.593048494709
114,4364.641393577852,296.08,296.08,0.0,4068.561393577852
115,4237.926333870312,423.28,423.28,0.0,3814.6463338703124
116,4193.768781345735,596.0,596.0,0.0,3597.768781345735
117,3866.303857168541,716.56,716.56,0.0,3149.743857168541
118,3158.4283750818768,738.24,738.24,0.0,2420.188375081877
119,3069.591301479883,730.0799999999999,730.0799999999999,0.0,2339.511301479883
120,2434.2570556269816,665.44,665.44,0.0,1768.8170556269815
121,1473.0467054836656,637.36,637.36,0.0,835.6867054836656
122,1769.9513109609763,729.52,729.52,0.0,1040.4313109609764
123,1797.0998834356433,992.3199999999999,992.3199999999999,0.0,804.7798834356433
124,2072.37626770911,1427.44,1427.44,0.0,644.9362677091099
125,2547.620235046386,1923.52,1923.52,0.0,624.1002350463859
126,3059.9288304993875,2323.76,2323.76,0.0,736.1688304993872
127,3621.734210070467,2646.3999999999996,2646.3999999999996,0.0,975.3342100704672
128,3918.77226006073,2924.2400000000002,2924.2400000000002,0.0,994.5322600607296
129,3648.9360161209033,3175.1200000000003,3175.1200000000003,0.0,473.816016120903
130,3963.7745177645506,3248.88,3248.88,0.0,714.8945177645505
131,3893.7880527558705,3093.76,3093.76,0.0,800.0280527558702
132,3736.882780790065,2833.3599999999997,2833.3599999999997,0.0,903.5227807900656
133,3641.730732790178,2501.7599999999998,2501.7599999999998,0.0,1139.9707327901783
134,3760.803508465844,2093.2,2093.2,0.0,1667.6035084658442
135,4140.021153995383,1685.36,1685.36,0.0,2454.6611539953838
136,3938.5692668805823,1387.36,1387.36,0.0,2551.2092668805826
137,4154.070462889109,1175.68,1175.68,0.0,2978.3904628891087
138,4311.039669036535,966.08,966.08,0.0,3344.959669036535
139,4100.341515263434,812.88,812.88,0.0,3287.461515263434
140,4244.932742537684,710.24,710.24,0.0,3534.6927425376844
141,3947.2792183704714,599.36,599.36,0.0,3347.9192183704713
142,3191.6866159209285,453.76,453.76,0.0,2737.9266159209283
143,2867.9829502551156,337.76,337.76,0.0,2530.2229502551154
144,2312.6404502565506,215.51999999999998,215.51999999999998,0.0,2097.1204502565506
145,1871.2324999999998,124.0,124.0,0.0,1747.2324999999998
146,1790.933,74.56,74.56,0.0,1716.373
147,1701.2665,49.279999999999994,49.279999999999994,0.0,1651.9865
148,2272.6160880467132,49.84,49.84,0.0,2222.776088046713
149,2457.6274652874913,81.12,81.12,0.0,2376.5074652874914
150,2984.213555060666,110.88000000000001,110.88000000000001,0.0,2873.3335550606657
151,3667.7622812929917,103.36,103.36,0.0,3564.4022812929916
152,3601.976226840153,111.92,111.92,0.0,3490.0562268401527
153,3719.2868143165206,183.68,183.68,0.0,3535.6068143165207
154,3952.9143011915503,322.08,322.08,0.0,3630.8343011915504
155,4183.590172746406,542.5600000000001,542.5600000000001,0.0,3641.030172746406
156,3747.0559859208647,898.7199999999999,898.7199999999999,0.0,2848.335985920865
157,3923.388524626992,1309.4399999999998,1309.4399999999998,0.0,2613.9485246269924
158,3977.0457748676454,1656.08,1656.08,0.0,2320.9657748676455
159,3780.3323524361153,1930.08,1930.08,0.0,1850.2523524361154
160,4145.1261093420435,2161.76,2161.76,0.0,1983.3661093420433
161,4077.0566434868174,2326.96,2326.96,0.0,1750.0966434868174
162,4274.975973602719,2448.4,2448.4,0.0,1826.575973602719
163,4237.990570538051,2503.04,2503.04,0.0,1734.9505705380507
164,4022.568969228122,2509.84,2509.84,0.0,1512.728969228122
165,3502.4788806777437,2579.12,2579.12,0.0,923.3588806777439
166,3489.281917800509,2760.48,2760.48,0.0,728.8019178005088
167,2777.984045385584,2962.72,2777.984045385584,184.73595461441573,0.0
168,2254.3169525539233,3173.52,2254.3169525539233,919.2030474460767,0.0
